FIRE_NO,IGN_DATE,FIRE_CAUSE,FIRE_TYPE,LATITUDE,LONGITUDE,SIZE_HA
C30085,20150523.17,Lightning,Fire,52.2711,-121.5118,3.6
K71366,20170726.12,Person,Fire,50.3299,-121.3953,30
N20709,20000811.14,Person,Fire,49.8731,-115.6792,3.5
G90279,20100711.19,Lightning,Fire,58.8575,-121.9688,4.7
G40080,20000514.17,Person,Fire,53.92,-124.0817,25
G90336,20040717.13,Lightning,Fire,59.241,-121.8032,6
N71691,20170812.16,Lightning,Fire,49.6232,-117.1715,80
C10379,20090728.14,Person,Fire,52.7035,-122.2369,4.7
V90753,20050314.1,Person,Fire,50.6718,-127.5649,3.6
G10104,20150521.19,Lightning,Fire,54.94,-122.2528,6.1
N41973,20170831.07,Lightning,Fire,51.2515,-117.8492,4.1
C20096,20150611.17,Person,Fire,51.9332,-122.5073,2
C10066,20140702.19,Lightning,Fire,52.9683,-121.0498,10
C52210,20170928.15,Person,Fire,52.5749,-125.4154,45
R10008,20020428.14,Person,Fire,53.935,-125.655,11.8
G90302,20040709.17,Lightning,Fire,59.138,-121.126,4
G30035,20160418.13,Person,Fire,53.2277,-119.9991,3.5
C50099,20160716.16,Lightning,Fire,51.3677,-124.906,30
C40057,20060515.12,Person,Fire,51.7787,-120.975,3.4
